ID,date,price,bedrooms,bathrooms,sqm_living,sqm_lot,floors,waterfront,view,condition,grade,sqm_above,sqm_basement,yr_built,yr_renovated,sqm_living15,sqm_lot15
39,2015-02-13,240000.0,4,1,113,750,1,no waterfront,0,2,7,82,30,1969,0,119,724
40,2014-06-20,605000.0,4,2,243,701,2,no waterfront,0,3,8,243,0,1996,0,243,1104
41,2014-07-15,625000.0,4,2,238,512,2,no waterfront,0,3,9,238,0,2000,0,229,526
42,2014-08-11,775000.0,4,2,392,2246,1,no waterfront,0,3,8,241,150,1984,0,223,2844
43,2014-07-07,861990.0,5,2,333,523,2,no waterfront,0,3,9,333,0,2014,0,336,523
44,2014-10-28,685000.0,3,1,145,211,2,no waterfront,0,3,7,145,0,1922,0,146,245
45,2014-07-29,309000.0,3,1,118,897,1,no waterfront,0,4,6,85,33,1959,0,124,818
46,2014-07-18,488000.0,3,2,293,1263,2,no waterfront,0,3,8,293,0,2003,0,283,857
47,2015-03-25,210490.0,3,1,91,792,1,no waterfront,0,3,6,91,0,1966,0,114,821
48,2014-07-16,785000.0,4,2,212,1246,2,no waterfront,0,4,9,212,0,1981,0,248,1271
49,2015-04-28,450000.0,3,1,116,553,1,no waterfront,0,4,7,116,0,1953,0,90,473
50,2015-03-11,1350000.0,3,2,255,6039,1,has waterfront,2,5,9,201,54,1953,0,248,6736
51,2014-09-16,228000.0,3,1,110,854,1,no waterfront,0,3,7,110,0,1955,0,110,869
52,2015-02-17,345000.0,5,2,292,848,1,no waterfront,0,4,8,152,140,1966,0,184,848
53,2014-12-31,600000.0,3,1,130,379,1,no waterfront,0,4,7,92,38,1950,0,130,379
54,2015-02-05,585000.0,2,1,183,794,1,no waterfront,0,3,7,91,91,1981,0,137,625
55,2015-03-03,920000.0,5,2,253,557,1,no waterfront,0,3,8,197,55,1927,0,253,557
56,2014-05-12,885000.0,4,2,262,464,2,no waterfront,0,3,9,262,0,1995,0,181,464
57,2014-08-19,292500.0,4,2,209,417,2,no waterfront,0,3,7,209,0,2008,0,209,418
58,2015-04-07,301000.0,3,2,224,441,2,no waterfront,0,3,8,224,0,2003,0,249,441
59,2014-08-27,951000.0,5,3,301,1332,2,no waterfront,4,4,8,301,0,1968,0,274,1026
60,2015-02-23,430000.0,4,3,171,926,2,no waterfront,0,3,8,171,0,1991,0,210,793
61,2014-12-10,650000.0,3,2,199,1972,1,no waterfront,3,4,8,147,52,1959,0,238,1755
62,2014-08-28,289000.0,3,1,117,780,1,no waterfront,0,3,7,117,0,1954,0,119,812
63,2014-10-21,505000.0,3,1,234,807,2,no waterfront,0,5,8,234,0,1973,0,232,882
64,2014-12-07,549000.0,3,1,143,96,3,no waterfront,0,3,8,143,0,2014,0,146,287
65,2014-06-03,425000.0,3,2,154,557,1,no waterfront,0,3,7,103,51,1979,0,133,379
66,2014-11-20,317625.0,3,2,257,353,1,no waterfront,0,5,7,164,92,1925,0,133,371
67,2014-09-09,975000.0,4,2,252,1026,2,no waterfront,0,3,10,252,0,1989,0,255,1026
68,2014-10-09,287000.0,4,2,208,431,2,no waterfront,0,3,7,208,0,2005,0,206,423
69,2014-08-25,204000.0,3,1,92,1121,1,no waterfront,0,4,7,92,0,1968,0,93,1173
70,2014-06-12,1325000.0,5,2,297,1872,1,no waterfront,0,3,8,148,148,1965,0,314,1872
71,2014-09-12,1040000.0,5,3,443,4653,1,no waterfront,0,4,11,285,157,1973,0,327,3615
72,2015-01-05,325000.0,3,2,117,521,1,no waterfront,0,4,7,117,0,1972,0,152,440
73,2014-06-10,571000.0,4,2,255,725,1,no waterfront,0,5,7,209,46,1916,0,140,725
74,2014-07-10,360000.0,4,2,221,464,2,no waterfront,0,3,8,221,0,2005,0,224,464
75,2015-03-16,349000.0,3,1,166,4694,1,no waterfront,0,5,7,101,65,1965,0,180,4694
76,2014-11-05,832500.0,4,4,318,3261,2,no waterfront,0,4,10,222,96,1986,0,301,3253
77,2014-10-13,380000.0,4,1,163,678,1,no waterfront,0,3,7,81,81,1956,0,156,696
78,2015-04-20,480000.0,3,1,96,470,1,no waterfront,0,3,7,96,0,1941,0,82,470
79,2014-06-09,410000.0,3,1,130,470,1,no waterfront,0,4,7,84,46,1956,0,104,528
80,2015-03-23,720000.0,4,2,320,3686,2,no waterfront,0,3,10,320,0,2002,0,311,3692
81,2014-12-02,390000.0,3,2,218,473,2,no waterfront,0,3,8,218,0,2003,0,218,498
82,2014-12-22,360000.0,4,2,176,547,2,no waterfront,0,3,7,176,0,1992,0,173,595
83,2014-10-28,355000.0,2,1,187,624,1,no waterfront,0,3,7,93,93,1948,0,159,624
84,2015-01-28,356000.0,3,1,156,809,1,no waterfront,0,3,8,156,0,1964,0,171,817
85,2014-06-02,315000.0,3,1,89,616,1,no waterfront,0,3,6,89,0,1952,0,145,669
86,2014-11-14,940000.0,3,1,198,334,2,no waterfront,0,3,9,176,22,1925,0,187,445
87,2014-11-03,305000.0,5,2,247,780,1,no waterfront,0,5,7,247,0,1961,0,147,758
88,2014-06-18,461000.0,3,3,257,583,2,no waterfront,0,3,9,183,73,2006,0,176,682
89,2014-05-19,215000.0,2,2,149,189,2,no waterfront,0,4,7,149,0,1979,0,181,188
90,2014-09-04,335000.0,2,1,95,99,2,no waterfront,0,3,7,71,24,2006,0,95,102
91,2014-05-22,243500.0,4,2,183,687,2,no waterfront,0,3,7,183,0,1988,0,183,697
92,2015-03-11,1099880.0,5,2,327,590,2,no waterfront,0,4,10,327,0,2001,0,234,580
93,2015-02-26,153000.0,3,1,111,975,1,no waterfront,0,3,7,111,0,1962,0,125,975
94,2014-07-25,430000.0,3,1,146,464,1,no waterfront,0,3,8,119,26,1939,0,145,418
95,2014-12-23,700000.0,3,1,146,464,1,no waterfront,0,3,8,119,26,1939,0,145,418
96,2014-09-08,905000.0,4,2,306,952,1,no waterfront,0,3,7,222,84,1946,1991,181,561
97,2015-03-30,247500.0,3,1,182,1456,1,no waterfront,0,3,7,182,0,1967,0,162,1450
98,2014-09-12,199000.0,4,1,107,594,1,no waterfront,0,4,7,107,0,1975,0,107,594
99,2014-07-11,314000.0,3,1,168,3883,1,no waterfront,0,5,7,112,55,1980,0,153,12545
100,2014-05-16,437500.0,3,2,215,3423,2,no waterfront,2,3,9,215,0,1992,0,236,3257
101,2014-06-11,850830.0,3,2,192,1230,1,no waterfront,0,5,9,117,74,1910,0,204,418
102,2014-10-27,555000.0,3,2,183,323,1,no waterfront,0,4,7,133,50,1929,0,149,323
103,2014-12-12,699950.0,3,2,203,9995,2,no waterfront,0,4,8,203,0,1983,0,238,4438
104,2014-10-07,1088000.0,3,2,271,753,2,no waterfront,0,3,8,271,0,1950,2010,220,753
105,2014-09-24,290000.0,3,1,112,3151,1,no waterfront,0,3,7,112,0,1954,0,152,1385
106,2015-04-02,375000.0,3,2,217,929,1,no waterfront,0,4,8,135,81,1978,0,209,758
107,2014-05-23,460000.0,3,1,155,372,1,no waterfront,0,4,7,108,46,1939,0,115,372
108,2014-07-23,188500.0,2,1,115,231,1,no waterfront,0,4,8,115,0,1985,0,117,461
109,2015-03-05,680000.0,4,2,291,2604,2,no waterfront,0,4,10,291,0,1991,0,277,3251
110,2014-08-27,470000.0,5,1,188,1146,2,no waterfront,0,4,7,188,0,1942,0,232,876
111,2014-07-25,597750.0,4,2,214,894,2,no waterfront,0,3,8,214,0,1984,0,180,895
112,2015-03-04,570000.0,3,1,117,309,1,no waterfront,0,5,6,65,52,1905,0,128,328
113,2014-09-16,272500.0,3,1,143,1170,1,no waterfront,0,4,7,107,35,1980,0,143,1082
114,2014-11-24,329950.0,3,1,193,554,1,no waterfront,2,3,7,100,92,1971,0,194,510
115,2014-10-28,480000.0,4,2,300,1502,2,no waterfront,3,3,9,234,65,2001,0,245,791
116,2014-11-21,740500.0,3,3,406,589,2,no waterfront,0,3,8,258,148,1900,1999,170,589
117,2014-06-26,518500.0,3,3,147,102,3,no waterfront,0,3,8,147,0,2010,0,150,294
118,2014-06-23,205425.0,2,1,81,629,1,no waterfront,0,4,6,81,0,1945,0,110,629
119,2015-01-08,171800.0,4,2,145,891,1,no waterfront,0,3,6,145,0,1950,0,174,836
120,2015-05-11,535000.0,4,1,149,277,1,no waterfront,0,4,7,149,0,1925,0,149,375
121,2015-01-02,660000.0,3,2,222,601,1,no waterfront,2,3,8,144,78,1964,0,217,1008
122,2014-11-19,391500.0,3,2,134,848,1,no waterfront,0,3,7,134,0,1987,0,146,845
123,2015-04-06,395000.0,2,1,71,557,1,no waterfront,0,3,6,71,0,1953,0,158,557
124,2014-11-04,445000.0,4,1,195,408,1,no waterfront,0,5,7,159,35,1924,0,171,408
125,2014-06-18,770000.0,3,2,270,947,2,no waterfront,0,3,9,270,0,1990,0,250,1299
126,2015-03-02,1450000.0,4,2,255,1652,1,no waterfront,0,3,8,183,71,1914,1992,284,1047
127,2014-07-17,445000.0,3,2,195,761,1,no waterfront,2,3,8,150,44,1967,0,247,809
128,2014-07-17,260000.0,4,2,200,818,1,no waterfront,0,3,8,126,74,1978,0,194,780
129,2014-06-13,822500.0,5,3,215,460,2,no waterfront,0,5,7,159,55,1926,0,157,460
130,2015-04-06,430000.0,4,2,192,400,2,no waterfront,0,3,7,192,0,2004,0,183,348
131,2015-01-05,212000.0,3,1,98,731,1,no waterfront,0,4,7,98,0,1986,0,131,713
132,2015-04-28,660500.0,4,2,186,892,1,no waterfront,0,3,8,133,52,1986,0,191,909
133,2014-06-12,784000.0,3,3,366,10319,1,no waterfront,0,3,9,228,138,1989,0,230,8221
134,2014-05-12,453246.0,3,2,186,212,2,no waterfront,0,3,8,129,57,2014,0,157,154
135,2015-01-26,675000.0,4,3,198,211,3,no waterfront,0,3,9,198,0,2005,0,143,212
136,2014-08-13,199000.0,3,1,122,1615,1,no waterfront,0,4,7,122,0,1956,0,143,1789
137,2014-08-05,220000.0,4,1,187,728,1,no waterfront,0,3,7,93,93,1968,0,162,756
138,2014-05-29,452000.0,4,2,240,929,1,no waterfront,0,4,8,124,116,1968,0,143,969
139,2014-07-07,382500.0,2,1,110,412,1,no waterfront,0,3,6,110,0,1981,0,98,530
140,2014-05-07,519950.0,3,2,108,116,3,no waterfront,0,3,8,108,0,2014,0,125,121
141,2014-06-27,665000.0,2,1,103,297,1,no waterfront,0,3,7,103,0,1925,0,108,334
142,2014-07-08,527700.0,5,2,261,870,1,no waterfront,0,4,8,143,117,1968,0,261,870
143,2015-05-08,205000.0,3,1,149,797,1,no waterfront,0,4,7,93,55,1962,0,149,797
144,2015-04-15,420000.0,3,1,98,752,1,no waterfront,0,4,7,87,11,1923,0,144,737
145,2015-02-27,500000.0,4,2,188,791,1,no waterfront,0,4,8,128,60,1961,0,207,819
146,2014-12-03,921500.0,4,2,340,29299,2,no waterfront,0,4,9,340,0,1994,0,263,8174
147,2014-06-25,890000.0,4,1,236,371,2,no waterfront,0,3,8,220,16,1905,0,204,371
148,2014-08-06,430000.0,2,2,224,5665,2,no waterfront,0,3,7,224,0,2007,0,180,18008
149,2014-10-30,258000.0,5,2,209,1161,1,no waterfront,0,4,8,104,104,1960,0,126,1672
150,2014-11-04,511000.0,3,1,132,320,1,no waterfront,0,3,7,91,41,1947,0,134,427
151,2014-08-20,532170.0,3,2,126,287,2,no waterfront,0,3,8,126,0,1990,0,139,287
152,2015-04-09,560000.0,3,1,103,464,1,no waterfront,0,3,7,103,0,1947,0,131,464
153,2015-03-31,282950.0,3,1,116,761,1,no waterfront,0,4,7,116,0,1954,0,156,802
154,2015-04-01,2250000.0,4,3,481,1844,2,no waterfront,3,3,12,328,152,2006,0,293,905
155,2014-05-16,350000.0,1,1,65,473,1,no waterfront,0,3,7,65,0,1942,0,93,473
156,2014-07-28,215000.0,3,1,109,712,1,no waterfront,0,4,7,109,0,1967,0,110,712
157,2014-11-20,650000.0,5,3,367,2345,2,no waterfront,0,3,9,232,135,1996,0,245,1270
158,2014-08-07,320000.0,4,2,245,696,1,no waterfront,0,3,8,150,94,1967,0,183,731
159,2014-11-13,247000.0,3,2,117,668,1,no waterfront,0,3,7,117,0,1916,2013,107,668
160,2014-10-03,320000.0,4,1,163,1038,1,no waterfront,0,4,8,163,0,1968,0,160,1038
161,2014-05-07,255000.0,5,2,191,801,1,no waterfront,0,3,7,95,95,1962,0,93,1085
162,2015-03-09,438000.0,3,1,165,897,1,no waterfront,0,3,7,165,0,1962,0,111,897
163,2015-03-04,900000.0,3,2,315,1542,2,no waterfront,0,3,10,315,0,2000,0,315,1170
164,2014-06-20,441000.0,3,2,177,676,1,no waterfront,0,3,7,107,69,1979,0,158,757
165,2014-08-12,420000.0,3,2,187,3561,1,no waterfront,0,4,7,93,93,1975,0,196,3399
166,2014-12-08,370000.0,3,1,146,650,1,no waterfront,0,3,7,109,37,1976,0,152,696
167,2015-02-19,269950.0,2,1,124,673,1,no waterfront,0,5,5,65,59,1949,0,170,905
168,2015-03-24,807100.0,4,2,248,417,2,no waterfront,0,3,9,248,0,1999,0,271,418
169,2014-06-05,653000.0,3,2,248,905,1,no waterfront,0,4,8,149,99,1979,0,230,812
170,2014-06-11,371500.0,3,2,127,774,1,no waterfront,0,5,7,127,0,1964,0,164,677
171,2015-03-16,284000.0,3,1,144,1950,1,no waterfront,0,3,7,144,0,1954,0,99,735
172,2015-01-02,272000.0,3,1,200,663,1,no waterfront,0,4,7,155,45,1978,0,179,682
173,2014-05-02,313000.0,3,1,124,735,1,no waterfront,0,3,7,124,0,1955,0,137,737
174,2015-01-16,917500.0,4,2,360,3251,2,no waterfront,0,3,10,238,121,1984,0,347,3272
175,2014-09-29,673000.0,4,2,240,760,2,no waterfront,0,4,8,240,0,1980,0,209,774
176,2015-02-10,425000.0,3,2,104,102,2,no waterfront,0,3,8,76,27,2008,0,147,166
177,2014-07-09,399950.0,5,2,183,501,1,no waterfront,0,3,7,122,60,1986,0,118,199
178,2014-05-30,385000.0,3,1,113,445,1,no waterfront,0,3,6,113,0,1901,0,111,445
179,2014-11-17,269950.0,3,1,181,702,1,no waterfront,2,4,7,122,58,1975,0,181,830
180,2015-01-07,330000.0,2,1,125,763,1,no waterfront,0,3,7,98,26,1949,0,143,769
181,2014-07-25,260000.0,3,2,155,538,2,no waterfront,0,3,7,155,0,1988,0,155,574
182,2015-04-14,470000.0,4,3,221,476,1,no waterfront,0,4,7,156,65,1925,0,130,499
183,2014-06-13,589000.0,4,3,226,891,2,no waterfront,0,5,7,226,0,1961,0,212,891
184,2014-07-23,163500.0,2,1,97,317,2,no waterfront,0,3,7,97,0,1996,0,97,317
185,2014-09-05,835000.0,4,2,290,1246,2,no waterfront,0,3,9,198,91,1993,0,209,927
186,2014-11-21,1095000.0,5,3,379,1193,1,no waterfront,2,4,10,194,185,1986,0,235,954
187,2015-04-15,269000.0,4,1,138,929,1,no waterfront,0,4,8,102,36,1969,0,203,827
188,2014-05-05,560000.0,3,2,176,812,2,no waterfront,0,3,8,176,0,1987,0,188,812
189,2015-04-18,615000.0,4,1,123,222,1,no waterfront,0,4,6,123,0,1901,0,123,408
190,2014-12-05,585188.0,3,2,207,931,1,no waterfront,0,3,8,132,74,1975,0,207,867
191,2014-08-18,305000.0,3,1,153,880,1,no waterfront,0,3,7,113,39,1977,0,143,780
192,2014-11-05,166950.0,3,1,110,819,1,no waterfront,0,3,6,110,0,1959,0,114,741
193,2014-09-12,799000.0,3,2,198,919,1,no waterfront,0,4,8,198,0,1959,0,248,936
194,2014-06-25,400000.0,3,2,202,697,1,no waterfront,0,4,7,131,70,1962,0,176,726
195,2014-12-01,230000.0,3,1,98,950,1,no waterfront,0,3,7,98,0,1948,0,145,950
196,2014-05-15,256883.0,3,2,157,466,2,no waterfront,0,3,8,157,0,2003,0,236,464
197,2014-11-11,423000.0,4,2,183,602,1,no waterfront,0,5,7,104,78,1920,0,139,602
198,2014-07-23,465000.0,3,2,199,379,2,no waterfront,0,3,8,199,0,2007,0,162,221
199,2015-01-13,440000.0,3,2,177,6151,2,no waterfront,0,3,7,177,0,1997,0,216,6249
200,2014-10-14,385000.0,3,1,125,14406,1,no waterfront,0,4,7,125,0,1969,0,144,4734
201,2015-03-11,210000.0,3,1,79,1089,1,no waterfront,0,4,6,79,0,1943,0,120,883
202,2014-11-12,297000.0,3,2,180,1389,2,no waterfront,0,3,8,180,0,1994,0,188,970
203,2014-07-16,470000.0,3,1,93,464,1,no waterfront,0,3,7,93,0,1952,0,156,464
204,2014-08-04,226500.0,3,1,120,684,1,no waterfront,0,4,7,83,37,1976,0,132,696
205,2015-03-03,274250.0,3,1,84,785,1,no waterfront,0,4,6,84,0,1962,0,130,746
206,2014-08-04,840000.0,4,1,230,1022,1,no waterfront,0,4,9,151,78,1966,0,257,998
207,2014-09-19,677900.0,3,2,226,426,2,no waterfront,0,3,8,226,0,2010,0,255,426
208,2015-02-05,425000.0,3,1,93,544,1,no waterfront,0,3,7,93,0,1915,0,119,464
209,2014-11-23,180250.0,2,0,83,891,1,no waterfront,0,3,6,83,0,1941,0,116,1326
210,2014-07-17,464000.0,6,3,213,316,2,no waterfront,0,3,7,148,65,1920,1994,144,121
211,2015-04-22,320000.0,4,2,143,704,2,no waterfront,0,3,8,143,0,1993,0,151,594
212,2014-07-17,625504.0,3,2,117,145,2,no waterfront,0,3,8,98,19,2014,0,107,123
213,2014-05-15,592500.0,4,2,208,1117,1,no waterfront,0,3,9,208,0,1983,0,234,1149
214,2015-01-14,465000.0,3,2,252,1666,2,no waterfront,0,3,9,252,0,2005,0,240,1708
215,2014-05-27,477000.0,4,2,159,582,2,no waterfront,0,3,8,159,0,1978,0,197,808
216,2015-01-15,280000.0,2,1,78,1523,1,no waterfront,0,3,6,78,0,1923,0,102,1343
217,2015-02-21,1505000.0,5,3,306,3109,1,no waterfront,3,3,9,173,132,1957,1991,356,1946
218,2014-07-03,445838.0,3,2,209,528,2,no waterfront,0,3,8,209,0,2000,0,122,500
219,2014-08-28,1072000.0,2,2,362,1380,1,no waterfront,3,3,8,181,181,1947,0,239,481
220,2014-10-23,467000.0,2,1,122,1003,1,no waterfront,0,4,8,122,0,1947,0,196,1118
221,2014-08-22,686000.0,4,2,256,598,2,no waterfront,0,3,10,256,0,1999,0,285,755
222,2014-06-05,279950.0,3,2,162,905,1,no waterfront,0,3,7,125,37,1961,0,176,940
223,2014-09-04,527000.0,4,2,216,1805,2,no waterfront,0,3,8,216,0,1987,0,177,934
224,2014-09-18,325000.0,3,2,206,1488,1,no waterfront,0,4,8,165,40,1966,0,193,890
225,2014-09-03,328000.0,3,2,187,778,2,no waterfront,0,3,7,187,0,1994,0,187,746
226,2014-06-04,390000.0,3,2,116,696,1,no waterfront,0,5,7,116,0,1942,0,118,686
227,2015-03-09,479950.0,2,2,140,605,1,no waterfront,0,3,8,140,0,2005,0,152,558
228,2014-05-29,264950.0,4,2,159,906,1,no waterfront,0,4,7,104,55,1978,0,140,906
229,2015-01-15,235000.0,3,1,132,1416,1,no waterfront,0,4,7,91,41,1961,0,182,1214
230,2015-03-03,516500.0,3,2,137,439,2,no waterfront,0,3,7,137,0,2004,0,209,439
231,2015-04-13,655000.0,2,1,134,1467,2,has waterfront,4,3,7,114,20,1915,1978,188,1225
232,2014-06-16,500000.0,4,2,211,1425,1,no waterfront,0,5,7,211,0,1960,0,211,1425
233,2014-11-21,315000.0,6,2,273,682,1,no waterfront,0,3,8,165,107,1978,0,196,765
234,2014-11-20,213000.0,2,1,92,947,1,no waterfront,0,3,6,92,0,1961,0,106,1272
235,2014-09-02,475000.0,3,1,230,490,1,no waterfront,0,5,7,150,79,1947,0,194,445
236,2014-06-10,1025000.0,5,4,349,2605,2,no waterfront,0,3,10,349,0,1983,0,318,3260
237,2015-04-09,416000.0,3,2,206,8760,1,no waterfront,0,5,7,152,53,1976,0,192,7441
238,2015-03-20,410000.0,4,1,183,440,1,no waterfront,0,3,7,155,27,1904,2005,140,440
239,2014-07-01,800000.0,3,3,355,20557,2,no waterfront,0,3,10,327,27,1993,0,271,13799
240,2014-05-29,472000.0,6,2,409,1303,1,no waterfront,2,4,9,218,191,1965,0,241,1299
241,2014-12-08,225000.0,3,1,132,790,1,no waterfront,0,4,7,132,0,1968,0,110,802
242,2014-10-01,210000.0,2,1,77,557,1,no waterfront,0,3,6,77,0,1940,0,77,460
243,2015-01-27,455000.0,2,1,132,464,1,no waterfront,0,2,7,132,0,1925,0,134,348
244,2015-04-27,225000.0,3,1,120,772,1,no waterfront,0,4,6,120,0,1954,0,117,772
245,2014-08-26,480000.0,2,1,95,284,1,no waterfront,2,4,7,73,22,1918,0,129,284
246,2015-02-12,363000.0,3,2,254,1102,2,no waterfront,0,3,9,254,0,1990,0,238,964
247,2014-09-29,2400000.0,4,2,339,776,1,has waterfront,4,3,9,170,169,2000,0,289,1750
248,2015-02-26,181000.0,2,1,66,475,1,no waterfront,0,3,6,66,0,1954,0,106,238
249,2015-03-14,250000.0,4,2,186,679,1,no waterfront,0,4,7,186,0,1976,0,186,710
250,2015-04-22,481000.0,3,1,144,278,1,no waterfront,0,4,6,71,73,1918,0,129,278
251,2014-09-23,260000.0,3,2,168,669,1,no waterfront,0,4,7,115,52,1978,0,162,669
252,2014-05-13,455000.0,4,2,312,713,2,no waterfront,0,3,9,312,0,2001,0,284,610
253,2015-04-01,415000.0,3,2,140,3365,2,no waterfront,0,3,8,140,0,1991,0,160,3365
254,2015-04-21,349500.0,3,1,130,328,1,no waterfront,0,3,7,74,55,1953,0,150,588
255,2014-09-29,245000.0,3,2,160,691,2,no waterfront,0,3,7,160,0,1987,0,151,599
256,2014-05-19,592500.0,2,2,131,853,1,no waterfront,2,5,7,131,0,1928,0,131,633
257,2014-10-20,385000.0,4,1,219,707,1,no waterfront,0,4,7,109,109,1955,0,177,707
258,2015-02-11,315000.0,3,1,146,1064,1,no waterfront,0,4,7,111,35,1974,0,143,989
259,2014-11-24,255000.0,3,1,114,944,1,no waterfront,0,3,7,114,0,1979,0,128,938
260,2014-08-29,693000.0,4,2,228,411,2,no waterfront,0,3,8,228,0,2006,0,277,525
261,2014-12-02,780000.0,3,1,154,408,1,no waterfront,0,3,8,135,18,1911,0,154,408
262,2014-10-24,237000.0,3,1,117,786,1,no waterfront,0,4,7,117,0,1960,0,148,786
263,2014-12-16,525000.0,3,2,195,3763,2,no waterfront,0,3,10,122,72,1979,0,221,3107
264,2015-04-28,425000.0,2,1,71,468,1,no waterfront,0,3,5,71,0,1930,0,123,239
265,2014-10-27,369900.0,1,0,70,936,1,has waterfront,4,5,5,70,0,1936,0,114,1325
266,2014-05-19,290000.0,4,2,157,676,2,no waterfront,0,4,7,157,0,1988,0,181,694
267,2014-09-29,285000.0,3,1,104,994,1,no waterfront,0,3,7,104,0,1954,0,104,589
268,2014-08-14,415000.0,2,1,99,418,1,no waterfront,0,3,7,99,0,1937,0,122,414
269,2015-04-09,272500.0,3,2,192,919,1,no waterfront,0,3,8,131,60,1979,0,192,766
270,2015-05-04,2900000.0,4,3,469,1867,1,no waterfront,2,3,11,441,27,1982,2008,361,1863
271,2014-10-07,1365000.0,4,4,493,5327,2,no waterfront,0,4,11,493,0,1989,0,388,4407
272,2015-05-01,436000.0,2,1,96,700,1,no waterfront,0,4,7,96,0,1939,0,133,699
273,2014-10-17,210000.0,3,1,157,1058,1,no waterfront,0,4,7,157,0,1967,0,125,758
274,2014-09-25,236000.0,3,1,120,547,1,no waterfront,0,3,7,120,0,1961,0,122,707
275,2014-11-24,331000.0,3,1,100,121,1,no waterfront,0,3,7,53,46,1954,2003,133,206
276,2015-03-20,365000.0,3,2,246,418,2,no waterfront,0,3,8,246,0,2006,0,246,457
277,2015-01-27,450000.0,3,2,212,1510,1,no waterfront,0,5,8,212,0,1960,0,154,978
278,2014-11-13,770000.0,4,2,354,2443,2,no waterfront,0,3,9,264,90,2014,0,172,1127
